Nouveau_Nom;Description;Cout;Complexite_Niveau de modification sur l'installation;Complexite_Temps de mise en œuvre;Complexite_Competences externes necessaires;Complexite_Integration logicielle / automatisme;Complexite_Encombrement physique;Interet_Securite accrue;Interet_Fiabilite / MTBF;Interet_Ergonomie operateur/Data;Interet spring;Score_Prix;Score_Complexite;Score_Interet;Score_Total;Ancien_Nom_CSV
Caractéristique hydraulique de la T8;AU LABO : caractérisation Delta P vs débit, gap voir production (fréquence, tension), densité gaz. Permet de dérisquer le pilotage en pression de SPRING.;5;5;4;5;5;5;;5;4;5;5;4,8;4,666666667;4,822222222;Perte de charge V8A
Bouclage bilan matière;Acquisitions de méthodes nécessaires pour SPRING : installer débitmètre volumique, automatiser calcul massique avec MADUR, pesons sur le four, interprétation rendements avec/sans plasmalyse, accumulation de goudrons, estimation volume de carbone.;5;5;3;5;5;5;;4;5;5;5;4,6;4,666666667;4,755555556;Bouclage bilan matière / énergétique
Approche empirique des adsorptions H2 dans les réfractaires;Comprendre le temps nécessaire pour désorber l'hydrogène du four.;5;5;4;4;;;5;5;5;4;5;4,333333333;4,75;4,694444444;Adsorption H?–CH?–C?H par le réfractaire
Effet Lensing sur la T8;Comprendre les conditions d'apparition d'un plasma focalisé, défauts électrodes, gap, apparition de pont de carbone, encrassement. Enjeux : ablation des électrodes, taux de conversion, mixing, faux positif détection pont carbone.;5;4;3;4;4;5;;5;5;5;5;4;5;4,666666667;Effet lensing
Comprendre l'érosion des électrodes vs l'écoulement;Impact changement cathode concave ? convexe sur SPRING. Paramètres plasma, gaz de plasmalyse, diamètre et type électrode.;4;5;3;4;5;5;;5;5;5;4;4,4;5;4,466666667;
Fiabilité PDR et MTBF;Détecter points faibles de la T8 pour SPRING : suivi pièces d'usure, calcul/dashboarding heures et paramètres, labéliseur de maintenance.;4;5;2;5;4;5;5;5;5;5;4;4,2;5;4,4;Fiabilité PDR & MTBF
Mesure UI : impact régulation plasma sur le couple T8 GF1R0;Tester l'effet de la régulation plasma sur la performance T8.;5;4;3;3;3;4;;5;5;4;5;3,4;4,666666667;4,355555556;Mesure (U, I)
Régénération mécanique des ponts de carbones;Solution mécanique nécessaire si CO2 impossible sur SPRING. Complexité et potentiels changements AF.;4;4;3;5;5;4;;5;5;4;4;4,2;4,666666667;4,288888889;Régénération mécanique des PC
Mobilité carbone vs température de peau vs surface;LABO : thermoforèse, préchauffeur, générateur flux sale, tests teflon.;4;4;3;5;5;4;;4;5;5;4;4,2;4,666666667;4,288888889;Mobilité carbone vs. température de peau (>150 °C ?)
Régénération pont de carbone H2;Tests potentiels en labo pour régénération H2.;4;4;4;5;5;4;;5;5;3;4;4,4;4,333333333;4,244444444;Régénération mécanique des PC
Relation Process / Qualité carbone / apparition PC / érosion électrode / température;Plan de test température, pression, fréquence/gap/tension, temps de séjour dans four (modélisation, gaz traceur).;4;5;2;4;4;5;;4;5;5;4;4;4,666666667;4,222222222;Relation paramètres process vs. caractéristiques du carbone
Que se passe-t-il dans le haut de la torche?;"Analyse des effets horizontaux et diagonaux : composition gaz, impact du ""vide"" sur formation PC, tests en laboratoire.";4;5;3;3;4;5;;5;4;5;4;4;4,666666667;4,222222222;Test fiabilité V8A (composants)
MONITORING système/zone dans cockpit;Développer vues par système pour analyser et anticiper pannes, suivi évènements sécurité, heures de fonctionnement, observations utilisateurs.;4;5;2;4;3;5;4;5;5;5;4;3,8;4,75;4,183333333;Vue système
Tester les électrodes en graphite;Pré-requis : 11 et 10. Vérification stabilité GAP et régénération CO2. Enjeux : électrodes SPRING et carbone conducteur.;4;4;3;5;5;5;;5;4;3;4;4,4;4;4,133333333;Tester graphite électrode
Optimisation SEO de la T8;Préparer méthodes de caractérisation torches SPRING, paramétrage systèmes pendant chauffe et production, tester gap, débit/pression, composition gaz, générateurs 100 kHz.;4;4;1;5;5;5;4;5;5;3;4;4;4,25;4,083333333;Maximiser le transfert d'énergie
Tester la bande de température de Victor;Évaluation bande de température spécifique.;4;5;4;5;5;4;;3;;4;4;4,6;3,5;4,033333333;Tester un gaz naturel (~85 % méthane)
Nouveaux systèmes de filtration nanoparticule;Cyclones haute vitesse, filtration électrostatique, banc de test PAL, pot à carbone. Comparaison BF310 : rendement, granulométrie, perte de charge.;3;3;3;4;5;4;5;5;5;5;3;3,8;5;3,933333333;Filtration nanoparticules (test filtres, électro-chaleur)
Battre des records de durée;Savoir comportement en fonctionnement continu, fin de campagne, 100% opérationnel.;4;5;4;5;5;5;2;;4;2;4;4,8;2,666666667;3,822222222;Battre des records de durée (commercial) [24 h ?]
Caractériser impuretés dans le gaz a différentes étapes process;Prélèvement gaz chaud/froid, gérer ATEX, analyse particules, détection structures inattendues, coordination labos externes.;3;3;3;4;5;4;5;4;;5;3;3,8;4,666666667;3,822222222;Caractériser les impuretés dans la phase gaz
Miscibilité CH4 – H2;Étudier selon écoulement et température.;3;4;3;3;4;4;5;4;5;5;3;3,6;4,75;3,783333333;Miscibilité CH?–H? (?, ?, %…)
Tester les impuretés du feedstock;Vapeur d'eau, éthane, mercaptans, CO2, N2, H2. Impact électrode, détection pont carbone, régulation générale, structure carbone plasmalyse.;3;3;2;4;5;4;5;4;;5;3;3,6;4,666666667;3,755555556;Caractériser les impuretés dans la phase gaz
Étanchéification presse étoupe des résistances du convertisseur;Capot pressurisé azote, presse étoupe pour câbles, aide au bilan matière, ATEX zone 1.;3;3;3;3;5;4;5;5;5;2;3;3,6;4,25;3,616666667;Étanchéification des résistances
Combustion des gaz de CH5;Designer et opérer torchère CH5, impacts sécurité, améliorer performance environnementale, tester résidu carbone.;3;3;3;4;4;5;5;;4;3;3;3,8;4;3,6;Combustion H?–CH? (brûleur…)
Tester des précurseurs dans le feedstock;Injecter précurseurs ferreux ou KOH, monitorer durabilité, fiabilité, impacts carbone.;3;3;2;4;3;3;;;4;4;3;3;4;3,333333333;CNT avec précurseur F
Breveter la T8;Cf 21 – innovation, protection intellectuelle.;2;5;3;2;5;5;3;4;;5;2;4;4;3,333333333;Brevet sur la V8A
Mélange nanotubes de carbone et CB du four;Test pour carbone conducteur.;3;4;2;3;4;;;4;3;4;3;3,25;3,666666667;3,305555556;Mélange CNT + CB
Post-traitement du carbone;Élimination HAP, broyage, fonctionnalisation extrudeuse réactive, granulation, séchage, préparation elastomères, injection adjuvant TT30X.;2;2;3;3;5;2;5;;4;4;2;3;4,333333333;3,111111111;Post-traitement thermique
Tests de nouveaux générateurs / pilote carbone;Faisabilité selon générateurs, mesures sécurité, modification AF, pré-tests labo.;2;3;3;3;3;4;3;4;4;4;2;3,2;3,75;2,983333333;Test fiabilité V8A (composants)
Séparation / purification du dihydrogène;Identifier membrane basse pression.;2;2;2;4;3;3;3;;3;3;2;2,8;3;2,6;Séparation/purification H? – tests champ/échantillons résiduels
Séparer l'acétylène en sortie de plasma;Évaluation faisabilité et contraintes.;2;2;2;1;2;2;3;;4;3;2;1,8;3,333333333;2,377777778;Séparation (C?H? en sortie plasma)
Nettoyage du convertisseur vapeur/CO2;Injection vapeur amont four, intérêt SPRING, attention choc thermique, impact carbone.;1;2;2;3;3;3;3;2;5;4;1;2,6;3,5;2,366666667;Nettoyage à la vapeur
Injection directe de plasma dans le four;Attention chicanes, utiliser TT, cellule plasma extérieure (électricité, gaz).;1;1;2;2;2;3;1;2;2;5;1;2;2,5;1,833333333;Injection directe de plasma dans le four

